"invoice_id","invoice_date","due_date","period_start_date","period_end_date","total_amount","canonical_vendor_id"
"59c0e792-673b-4bb7-84c3-722ed88dd3cb",2020-04-01,2020-05-01,2020-05-01,2021-04-30,84269.25,e7f597e5-0d7b-4192-a7d8-60d0b3b4115e
"4bd68fa7-af7f-48be-817e-36a88247a2e2",2020-07-14,2020-07-14,2020-06-29,2021-06-29,10079.0,c2718d64-1501-499a-81c0-31c84c551293
"8666c2bb-6d83-4b32-aedd-e138a2d6b164",2020-07-31,2020-08-30,2020-07-31,2020-07-31,7561.48,f51bef62-eaee-4469-a595-f5617240ffd7
"1136d6cd-6231-4513-b0a8-56d73da9aed3",2019-06-18,2019-06-28,2019-05-01,2019-05-31,43787.6,b46d7ca6-ca5f-44ce-afc8-d492f69c7e32
dd7387b2-bca1-4755-97f4-80945792e475,2019-06-28,2019-07-28,2019-06-28,2019-06-28,146166.26,"5563cff8-b050-45e9-89d3-eb079dfeb12a"
b052fe6e-878c-4ea4-a0c2-7eb62e0ec5a2,2020-01-03,,2020-01-03,2020-01-03,14760.0,aa2f1ec0-b189-4009-a928-edfba356a3ea
"0732547d-1e5c-4be3-8079-18e9a9fd02ef",2020-06-18,2020-07-18,2020-06-01,2020-08-31,13609.38,"3a64161d-30c9-41b8-85e7-910b891e6520"
"08b56076-7807-4da7-9a74-d26da2b081ce",2020-04-24,2020-04-25,2020-03-16,2020-05-24,1646.54,a5883740-aea5-4716-8f07-7b4765cb2385
a5bdce43-ab87-40ab-bcd6-20d9fbcd7fae,2019-05-31,2019-06-30,2019-05-31,2019-05-31,15844.68,"5563cff8-b050-45e9-89d3-eb079dfeb12a"
"1d18bdcc-1f12-4b1f-ad5b-03689984d493",2019-04-26,2019-05-26,2019-04-26,2019-04-26,46268.98,"5563cff8-b050-45e9-89d3-eb079dfeb12a"
a8c5ff54-bffb-4e4d-8715-7dbbb6f23c12,2019-03-29,2020-04-28,2019-03-29,2019-03-29,12713.87,"5563cff8-b050-45e9-89d3-eb079dfeb12a"
"0bd94246-734f-48ca-be50-2c7f0f8d262b",2020-03-01,2020-03-31,2020-03-01,2021-02-28,5977.69,"089685a6-ecec-44ab-bfdf-b2ccb5182382"
"55cd19ff-72be-4a26-8838-6f981f32a933",2019-07-04,2019-08-03,2019-07-04,2019-08-03,634.62,c753ab1a-cd7b-4968-9a25-0f0471b0c882
c318410e-c725-472e-93bf-044aa5d0e3d9,2019-05-09,2019-05-19,2019-04-29,2019-05-05,1039.73,"34bf92fe-9b14-461b-baba-3bd5088f3bba"
"54d56a97-5ec7-4176-a3cf-14b9149fec12",2019-11-29,2019-12-29,2019-11-29,2019-11-29,86457.82,"5563cff8-b050-45e9-89d3-eb079dfeb12a"
"76e4022a-1cd5-41c9-8999-b61e63bc6019",2019-08-30,2019-09-29,2019-08-30,2019-08-30,173916.74,"5563cff8-b050-45e9-89d3-eb079dfeb12a"
"256bc876-27ae-48c7-b7b2-29ae4b0779d7",2019-04-26,2019-05-26,2019-04-26,2019-04-26,9897.51,"5563cff8-b050-45e9-89d3-eb079dfeb12a"
e83a546c-c08e-445c-aba4-7718f6b51a3f,2019-06-04,2019-07-04,2019-06-04,2019-07-03,591.1,c753ab1a-cd7b-4968-9a25-0f0471b0c882
"1c2be5f1-0303-42a9-b580-3d7658c02bfe",2019-07-26,2019-08-25,2019-07-26,2019-07-26,20002.18,"5563cff8-b050-45e9-89d3-eb079dfeb12a"
