"invoice_id","line_item_id","period_start_date","period_end_date","total_amount","canonical_line_item_id"
"42a455ad-03c9-453d-b993-9ef3a08229c7","0a1697ff-5a1f-49bf-b5ff-23f639ebbbe6",2020-04-04,2020-04-04,387.17,e7154120-1c67-4f32-bf7f-81ea1caa0b74
"0659dddc-fe63-4b08-b0bf-040f374b60d4",a4341800-82cf-4142-b1b7-e5707016700f,2020-03-01,2020-03-01,612.72,dc2b843b-9e01-4a0d-b8a9-0b270602593b
"0659dddc-fe63-4b08-b0bf-040f374b60d4","884d823f-7e19-4821-809f-4291cf480e28",2020-03-01,2020-03-01,812.67,"77f76010-cf39-4a52-b204-b9d5d87c5ffa"
"0b8ce6a4-7d21-4d64-be4e-086336fe7c07",c6608376-a330-472f-92c7-253908864ebe,2020-03-06,2020-03-06,1008.0,d636d441-d90c-49d4-95b9-ae662cd7bec2
"0659dddc-fe63-4b08-b0bf-040f374b60d4","6d8dd3e1-6fab-4432-8d08-57e76497194e",2020-03-01,2020-03-01,737.17,db0b6803-fbeb-4339-b7b8-7c26c99f86c8
"9aa4bcfc-2bee-46d1-be98-82846bcb83d1","2a02f937-8fe5-4dcf-b99a-247b114ee5ae",2020-08-01,2020-08-31,138.0,"8f0013bf-d65d-4556-8aab-4d202970cdef"
"14b267aa-ad26-492a-a624-d012dd74b0eb","8e48ccdb-371c-40d9-8dd0-0e82984f0ad3",2020-08-25,2020-08-25,122.55,"810cd7a4-abfc-4af1-8ac1-3b3316198ccb"
b9b13281-6673-4a4a-a5ab-2560754c906f,"6262b73d-9b37-42ec-9069-7ae6b63b0c7d",2020-03-10,2020-03-10,246.21,"43ee8d50-1f68-41f7-bfc6-77c64f11b899"
"92d6af55-bee6-4d4f-bac7-702a5911b0b2","34848a67-1f87-43fe-99bb-43924bd47ffb",2019-12-07,2019-12-07,387.17,"1e6165a0-d9b2-4602-9614-4ba908909305"
"087edc74-c497-46bb-955d-2aa53f6c103e",acd92875-0510-4b20-b850-6fedd905f901,2020-06-08,2020-06-08,14.97,"2600f299-ddbe-4dfa-a566-f87e970c74a6"
dd1c35c8-4440-41ad-85db-3a4b2756953d,f79f45ce-af35-4a58-be09-941e9ca8268c,2019-12-01,2019-12-31,5801.25,c2a89573-d3bc-45b8-a1b3-39d0e041be6b
dd1c35c8-4440-41ad-85db-3a4b2756953d,"6cc40275-bb36-495f-86a9-e0d8c456a33b",2019-12-01,2019-12-31,442.0,c2a89573-d3bc-45b8-a1b3-39d0e041be6b
dd1c35c8-4440-41ad-85db-3a4b2756953d,"94c343e7-860a-4b9f-a85b-295a11919ef4",2019-12-01,2019-12-31,8840.0,c2a89573-d3bc-45b8-a1b3-39d0e041be6b
dd1c35c8-4440-41ad-85db-3a4b2756953d,"52c7a516-df28-4c89-986a-f17a5262eb0f",2019-12-01,2019-12-31,-484.5,c2a89573-d3bc-45b8-a1b3-39d0e041be6b
dd1c35c8-4440-41ad-85db-3a4b2756953d,"417a51aa-f8f7-4bf2-83db-6e02650e6e5f",2019-12-04,2019-12-04,242.09,"43ee8d50-1f68-41f7-bfc6-77c64f11b899"
dd1c35c8-4440-41ad-85db-3a4b2756953d,"5c0eb9e2-40db-4285-8f9a-7e8cc10e4114",2019-12-18,2019-12-18,52.24,"43ee8d50-1f68-41f7-bfc6-77c64f11b899"
dd1c35c8-4440-41ad-85db-3a4b2756953d,"767830b5-c387-4f61-8e30-9ac3ad0b8984",2019-12-18,2019-12-18,42.45,"43ee8d50-1f68-41f7-bfc6-77c64f11b899"
dd1c35c8-4440-41ad-85db-3a4b2756953d,"67add439-2667-4cb3-9456-7fe0fb793074",2019-12-18,2019-12-18,89.3,"43ee8d50-1f68-41f7-bfc6-77c64f11b899"
dd1c35c8-4440-41ad-85db-3a4b2756953d,ffa68a82-a4c8-49f6-8418-da4f4c4cde16,2019-12-18,2019-12-18,217.49,"43ee8d50-1f68-41f7-bfc6-77c64f11b899"
dd1c35c8-4440-41ad-85db-3a4b2756953d,ba3369d3-1977-4de5-9dd9-c5c18df71d5b,2019-12-09,2019-12-09,275.05,"43ee8d50-1f68-41f7-bfc6-77c64f11b899"
c690ff20-a6f3-4cd6-8c8d-40d4eb413dad,"72ce5f2e-5395-475e-8bdd-c768ab073e3c",2020-06-01,2020-06-01,-1513.79,a7373713-36c6-4e77-b432-66395f951fbf
c690ff20-a6f3-4cd6-8c8d-40d4eb413dad,"7a6b5116-8aeb-441a-a66a-f01df738aeda",2020-06-01,2020-06-01,612.72,dc2b843b-9e01-4a0d-b8a9-0b270602593b
c690ff20-a6f3-4cd6-8c8d-40d4eb413dad,efc686b1-2caf-4626-83f1-74dcf96cb0a8,2020-06-01,2020-06-01,812.67,"77f76010-cf39-4a52-b204-b9d5d87c5ffa"
c690ff20-a6f3-4cd6-8c8d-40d4eb413dad,a728be8f-639a-4cac-b7a6-a0ff0772b1d8,2020-06-01,2020-06-01,737.17,db0b6803-fbeb-4339-b7b8-7c26c99f86c8
b5f7fee8-43f3-41f6-a88b-d52eb6f53a31,"5824b9ed-961e-4486-bd30-f06937e76cfc",2020-10-01,2020-10-31,14.45,"5dda18b9-7dde-4911-a1e3-2d8cd10c5822"
bfedb436-2218-4ebc-9c34-d95c9bf1f08b,"56e54c79-7e90-4358-9376-d09396a69706",2020-07-07,2020-08-06,655.88,"7f53c294-6d5b-4e8a-8f4d-f3fc9c8523af"
fecc340b-4a79-4cd8-b610-899f0eee8ff7,"3ace600f-ca02-4626-9b81-230f1e8d293e",2019-09-21,2019-10-20,8.48,abcb45cf-29c3-4065-a82f-f28241dc8942
"0ca57213-93ea-4b59-a008-33679afb8650","1495b6d2-0d5d-419b-acf7-6435b02ab692",2019-02-01,2019-02-28,21.2,"5cc9ed14-8d71-42a8-adee-8ced68b5ace6"
"9cc1367c-ddc4-4cf0-99ee-b0e94db28632",eab97bb5-3778-4eb7-84ba-7151235d24f3,2019-01-03,2019-02-02,270.3,f64f62b3-f74d-4c3f-aa76-0e62a6637091
"785279bf-0353-4e0d-b70f-13f0a6f26061","6c2527ad-9511-4223-a9d5-7566d16ef4d9",2019-02-11,2019-03-10,2398.25,a6b3b765-8816-443a-b082-20db03aa52f8
d7bd90e2-e4d8-4272-a99e-a7b27b3c09a3,"0a25dbbb-0ff9-4ce4-bcbf-94ed76bd2e59",2019-12-01,2019-12-31,4962.75,"4d71ab45-8272-41e8-8a95-4caac3df5be3"
"0c13ca00-ef3d-4785-b16b-5bce09fed4ce","6e2396a8-7073-4781-9297-ad37cdd0f5d4",2019-02-02,2019-03-01,15.9,"5b7a66ed-5d16-407f-a9df-83adf8f7aa50"
cdcee9b9-a59b-499b-ae21-5b09a94c0d62,cd557d84-ce69-4268-b999-54c76ec5737e,2019-08-21,2019-09-20,8.48,abcb45cf-29c3-4065-a82f-f28241dc8942
a44216d6-74e7-4365-a9f1-632654fd753a,"395af97b-09c2-4c01-b64f-278e964d0339",2019-01-01,2019-01-31,21.2,"5cc9ed14-8d71-42a8-adee-8ced68b5ace6"
c30d93f4-b5ba-4026-ad77-f89c90ea77cb,d2f9351e-c39b-4c8c-84ae-3eba9ecbcb88,2018-12-25,2019-01-24,16.96,"02b0744b-e287-46d4-9408-dc18b87abede"
"4da8104d-300e-40dd-a2cf-3d2d30d2572a",a3d844f8-078b-448c-9513-058354a1042b,2019-02-21,2019-03-20,394.32,abcb45cf-29c3-4065-a82f-f28241dc8942
"1f9bb560-24eb-41b4-b46f-d6dd426a01c9",de595191-54db-401c-8b15-8fc3fc0a5c2e,2019-01-01,2019-03-31,5250.0,"916e01ca-6424-442b-aeb3-ab2937e9b6f2"
"1f9bb560-24eb-41b4-b46f-d6dd426a01c9","139683c1-966d-4741-947b-9aabab20e6b8",2019-01-01,2019-03-31,1050.0,"916e01ca-6424-442b-aeb3-ab2937e9b6f2"
c3016312-95e9-4339-bed7-cb61ce8d16b9,"932f3773-95fd-4aa1-a693-00709eb8eac2",2020-05-01,2020-05-31,4664.0,c2a89573-d3bc-45b8-a1b3-39d0e041be6b
c3016312-95e9-4339-bed7-cb61ce8d16b9,"67594411-149e-4309-a01c-113e7e934295",2020-05-01,2020-05-15,2623.5,c2a89573-d3bc-45b8-a1b3-39d0e041be6b
c3016312-95e9-4339-bed7-cb61ce8d16b9,"891cae83-314e-4f4e-9dd4-6df8879eac1b",2020-05-22,2020-05-29,636.0,c2a89573-d3bc-45b8-a1b3-39d0e041be6b
c3016312-95e9-4339-bed7-cb61ce8d16b9,"698e83b4-ddd9-4ce9-94c2-a3a6f815223e",2020-05-04,2020-05-04,69.16,"43ee8d50-1f68-41f7-bfc6-77c64f11b899"
c3016312-95e9-4339-bed7-cb61ce8d16b9,"7ff6300c-8077-4de6-bcbf-797ea5a1ad31",2020-05-27,2020-05-27,52.59,"43ee8d50-1f68-41f7-bfc6-77c64f11b899"
c3016312-95e9-4339-bed7-cb61ce8d16b9,"37e80e21-a813-4c2a-b110-ec24e7cabd4d",2020-05-04,2020-05-04,254.76,"43ee8d50-1f68-41f7-bfc6-77c64f11b899"
c3016312-95e9-4339-bed7-cb61ce8d16b9,cc957f36-8be9-4a9f-b1d0-cd7ed39ec6d7,2020-05-04,2020-05-04,82.72,"43ee8d50-1f68-41f7-bfc6-77c64f11b899"
c3d3a158-0a75-4655-81d2-ea069b02ebd7,"672d559a-9b5a-4442-91b5-839ac57aca23",2019-01-02,2019-02-01,15.9,"5b7a66ed-5d16-407f-a9df-83adf8f7aa50"
cae6d0c0-5550-4a52-94c9-3a67c8b267de,bfce9c0e-73e7-4c40-a7e4-5548cb6e8c20,2019-04-21,2019-05-20,390.08,abcb45cf-29c3-4065-a82f-f28241dc8942
e2957702-98f5-458e-8199-9b46e9cbe3a3,"37ff9801-9059-4307-8a6a-3709de4e4b62",2019-01-25,2019-02-24,16.96,"02b0744b-e287-46d4-9408-dc18b87abede"
"891407c1-9463-4f51-98f2-83699d7adea4",d8c9c852-e70b-4015-809a-c5cc9340feb9,2020-08-01,2020-08-31,87.1,"123e412f-35cc-4222-9f6b-6b96efa238dc"
"891407c1-9463-4f51-98f2-83699d7adea4","673d7208-858a-443b-8b34-6e493c63f449",2020-09-01,2020-09-30,12.0,bc76ce38-3a93-4728-9a21-352ae3e08252
